Student ID,Student Name,Department,Course Code,Course Name,Grade,Credits,Semester,Course Type
202400005,Zeynep Başarılı,Computer Engineering,MATH 141,Calculus I,AA,5,2020-2021 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,PHYS 121,Physics I,AA,7,2020-2021 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 111,Introduction to Computer Engineering,AA,5,2020-2021 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 113,Introduction to Programming,AA,6,2020-2021 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 115,Discrete Structures,AA,5,2020-2021 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,ENG 101,Academic English I,AA,3,2020-2021 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,MATH 142,Calculus II,AA,6,2020-2021 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,PHYS 122,Physics II,AA,8,2020-2021 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,MATH 144,Finite Mathematics,AA,5,2020-2021 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 112,Data Structures,AA,5,2020-2021 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,ECON 106,Principles of Economics,AA,3,2020-2021 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,ENG 102,Academic English II,AA,3,2020-2021 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,GCC 101,Career Planning and Development,CC,0,2020-2021 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 211,Fundamentals of Programming,AA,5,2021-2022 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 213,Theory of Computation,AA,5,2021-2022 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 215,Circuits and Electronics,AA,6,2021-2022 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,MATH 255,Differential Equations,AA,6,2021-2022 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,HIST 201,History of Turkish Republic I,AA,2,2021-2022 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,TURK 201,Turkish Language I,AA,2,2021-2022 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 212,Programming Language Concepts,AA,5,2021-2022 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 214,Logic Design,AA,6,2021-2022 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 216,Numerical Computing,AA,5,2021-2022 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 218,Analysis and Design of Algorithms,AA,5,2021-2022 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 222,Probability and Statistics,AA,5,2021-2022 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,HIST 202,History of Turkish Republic II,AA,2,2021-2022 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,TURK 202,Turkish Language II,AA,2,2021-2022 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 311,Computer Architecture,AA,8,2022-2023 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 315,Information Management,AA,6,2022-2023 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 312,Computer Networks,AA,6,2022-2023 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 316,Software Engineering,AA,6,2022-2023 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 318,Human-Computer Interaction,AA,6,2022-2023 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 322,Operating Systems,AA,8,2022-2023 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 411,Professionalism in Computer Engineering,AA,6,2023-2024 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 415,Undergraduate Thesis and Seminar I,AA,8,2023-2024 Fall,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 416,Undergraduate Thesis and Seminar II,AA,8,2023-2024 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,ECON 205,Principles of Economics,AA,3,2023-2024 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 246,Numerical Computing,AA,5,2023-2024 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 400,Summer Internship,CC,0,2023-2024 Spring,Mandatory
202400005,Zeynep Başarılı,Computer Engineering,CENG 388,Web Programming,AA,3,2022-2023 Fall,Technical Elective
202400005,Zeynep Başarılı,Computer Engineering,CENG 389,Mobile Application Development,AA,3,2022-2023 Fall,Technical Elective
202400005,Zeynep Başarılı,Computer Engineering,CENG 390,Cloud Computing,AA,3,2022-2023 Fall,Technical Elective
202400005,Zeynep Başarılı,Computer Engineering,CENG 421,Computer Network Programming,AA,3,2022-2023 Spring,Technical Elective
202400005,Zeynep Başarılı,Computer Engineering,CENG 431,Software Systems Development,AA,3,2022-2023 Spring,Technical Elective
202400005,Zeynep Başarılı,Computer Engineering,CENG 461,Artificial Intelligence,AA,3,2023-2024 Fall,Technical Elective
202400005,Zeynep Başarılı,Computer Engineering,CENG 463,Introduction to Machine Learning,AA,3,2023-2024 Fall,Technical Elective
202400005,Zeynep Başarılı,Computer Engineering,MAN 203,Project Management,AA,3,2022-2023 Fall,Non-Technical Elective
202400005,Zeynep Başarılı,Computer Engineering,MAN 216,Introduction to Marketing,AA,3,2022-2023 Spring,Non-Technical Elective
202400005,Zeynep Başarılı,Computer Engineering,HUM 215,Mythology,AA,3,2023-2024 Fall,Non-Technical Elective 
